Unnamed: 0,Marca,Data Analise,Tempo,no Video,Timestamp Absoluto,Tipo,Original,Formato,Localizacao Exata,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Texto na Tela Exibido,Unnamed: 16,Contexto Geral,Unnamed: 18,Unnamed: 19,Unnamed: 20,O que foi Falado,Link para o Momento,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Titulo Video,Source
12,Whoop,2026-04-19,,0:00:15,2026-04-19 0:00:15,,Visual,Placa de Publicidade,"[175, 874, 232, 994]",,,,,,WHOOP,,Publicidade de tecnologia vestível ao fundo.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=15s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
13,Emirates,2026-04-19,,0:00:22,2026-04-19 0:00:22,,Visual,Logo na roupa,"[250, 375, 410, 442]",,,,,,Emirates FLY BETTER,,Patrocinador master na camisa do Olympique Lyonnais.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=22s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
14,1XBET,2026-04-19,,0:00:39,2026-04-19 0:00:39,,Visual,Placa de Publicidade,"[586, 911, 725, 1000]",,,,,,1XBET,,Publicidade de apostas no canto inferior direito.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=39s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
15,Decolar,2026-04-19,,0:00:45,2026-04-19 0:00:45,,Visual,Overlay Gráfico,"[833, 15, 984, 135]",,,,,,decolar,,Logo da marca de viagens acompanhando o gráfico de replay.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=45s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
16,Nike,2026-04-19,,0:00:59,2026-04-19 0:00:59,,Visual,Logo na roupa,"[786, 401, 860, 480]",,,,,,,,Swoosh da Nike visível na camisa do jogador do PSG.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=59s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
17,McDonald's,2026-04-19,,0:01:32,2026-04-19 0:01:32,,Visual,Placa de Publicidade,"[557, 150, 672, 350]",,,,,,McDonald's,,Logotipo e nome da rede de fast-food nas placas de LED.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=92s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
18,Congo Brazzaville,2026-04-19,,0:01:35,2026-04-19 0:01:35,,Visual,Logo na roupa,"[675, 485, 745, 615]",,,,,,DESTINATION Congo Brazzaville,,Marca de destino turístico nas costas da camisa do Lyon.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=95s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
19,Ausshopping,2026-04-19,,0:01:35,2026-04-19 0:01:35,,Visual,Logo na roupa,"[415, 505, 445, 605]",,,,,,AUSSHOPPING,,Patrocinador na parte superior traseira da camisa do Lyon.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=95s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
20,MG,2026-04-19,,0:01:35,2026-04-19 0:01:35,,Visual,Logo na roupa,"[833, 815, 955, 915]",,,,,,MG,,Logo da Morris Garages na manga da camisa do Lyon.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=95s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
21,Visit Rwanda,2026-04-19,,0:01:52,2026-04-19 0:01:52,,Visual,Placa de Publicidade,"[509, 65, 591, 235]",,,,,,VISIT RWANDA,,Publicidade de turismo nas placas próximas ao gol.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=112s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
22,Qatar Airways,2026-04-19,,0:02:00,2026-04-19 0:02:00,,Visual,Placa de Publicidade,"[180, 140, 260, 500]",,,,,,QATAR AIRWAYS,,Patrocinador master em destaque nas placas de publicidade ao fundo.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=120s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
23,Qatar Airways,2026-04-19,,0:02:00,2026-04-19 0:02:00,,Visual,Placa de publicidade,"[288, 508, 373, 844]",,,,,,QATAR AIRWAYS,,Placa publicitária no entorno do gramado com o nome da companhia aérea.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=120s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
24,Cazé TV,2026-04-19,,0:02:00,2026-04-19 0:02:00,,Visual,Overlay Gráfico,"[52, 913, 115, 978]",,,,,,EMISSORA OFICIAL,,Logotipo do canal de transmissão fixo no canto superior direito da tela.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=120s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
25,QNB,2026-04-19,,0:02:03,2026-04-19 0:02:03,,Visual,Placa de publicidade,"[386, 0, 442, 53]",,,,,,QNB,,Logotipo do Qatar National Bank visível em uma placa publicitária lateral.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=123s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
26,bitpanda,2026-04-19,,0:02:06,2026-04-19 0:02:06,,Visual,Placa de publicidade,"[321, 33, 374, 172]",,,,,,bitpanda,,Logotipo da plataforma de investimentos bitpanda em placa no entorno do campo.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=126s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
27,Nike,2026-04-19,,0:02:16,2026-04-19 0:02:16,,Visual,Logo na roupa,"[920, 310, 996, 436]",,,,,,,,O logotipo 'Swoosh' da Nike estampado no peito do uniforme do jogador do PSG.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=136s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
28,Cazé TV,2026-04-19,,0:02:21,2026-04-19 0:02:21,,Áudio,Menção em Áudio,,,,,,,,,O narrador faz a divulgação das redes sociais oficiais do canal de transmissão.,,,,"É Casa Cazé TV, tá? Cola na arroba Casa Cazé TV.",https://www.youtube.com/watch?v=swktQQbVjZ0&t=141s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
29,Adidas,2026-04-19,,0:02:50,2026-04-19 0:02:50,,Visual,Logo na roupa,"[660, 580, 735, 660]",,,,,,,,Logo da Adidas no uniforme do goleiro caído no gramado.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=170s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
30,Vivo,2026-04-19,,0:03:33,2026-04-19 0:03:33,,Visual,Overlay Gráfico,"[870, 122, 978, 986]",6.0,MINUTOS,DE,ACRÉSCIMOS,=,6 GIGAS DE BÔNUS NO VIVO PRÉ!,,Banner promocional da operadora Vivo que aparece no rodapé da transmissão.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=213s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
31,Vivo,2026-04-19,,0:03:33,2026-04-19 0:03:33,,Áudio,Menção em Áudio,,,,,,,,O,narrador lê a mensagem promocional da operadora Vivo referente aos acréscimos da partida.,Seis,minutos,de,acréscimo é igual a seis gigas de bônus no Vivo Pré!,https://www.youtube.com/watch?v=swktQQbVjZ0&t=213s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
32,Bitpanda,2026-04-19,,0:04:00,2026-04-19 0:04:00,,Visual,Placa de Publicidade,"[288, 579, 355, 725]",,,,,,bitpanda,,Marca exibida nas placas de publicidade ao redor do campo de futebol.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=240s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
33,Qatar Airways,2026-04-19,,0:04:00,2026-04-19 0:04:00,,Visual,Placa de Publicidade,"[442, 118, 563, 265]",,,,,,QATAR AIRWAYS,,Logotipo da companhia aérea nas placas publicitárias próximas à lateral do campo.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=240s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
34,QNB,2026-04-19,,0:04:00,2026-04-19 0:04:00,,Visual,Placa de Publicidade,"[376, 331, 439, 377]",,,,,,QNB,,Marca do banco QNB exibida em placa publicitária.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=240s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
35,CazéTV,2026-04-19,,0:04:00,2026-04-19 0:04:00,,Visual,Overlay Gráfico,"[54, 915, 115, 977]",,,,,,Cazé TV,,Marca d'água da emissora no canto superior direito da tela.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=240s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
36,Aspetar,2026-04-19,,0:04:02,2026-04-19 0:04:02,,Visual,Placa de Publicidade,"[242, 416, 315, 737]",,,,,,ASPETAR,,Logotipo da clínica esportiva Aspetar nas placas de publicidade.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=242s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
37,Adidas,2026-04-19,,0:04:16,2026-04-19 0:04:16,,Visual,Logo na roupa,"[211, 497, 252, 549]",,,,,,,,Logotipo da Adidas no peito da camisa do jogador do Lyon.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=256s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
38,Emirates,2026-04-19,,0:04:16,2026-04-19 0:04:16,,Visual,Logo na roupa,"[302, 471, 381, 545]",,,,,,Emirates Fly Better,,Patrocinador master estampado na frente da camisa do Lyon.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=256s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
39,Visit Qatar,2026-04-19,,0:04:20,2026-04-19 0:04:20,,Visual,Placa de Publicidade,"[277, 303, 387, 746]",,,,,,visit QATAR,,Marca de promoção turística do Catar nas placas de publicidade.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=260s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
40,WHOOP,2026-04-19,,0:04:28,2026-04-19 0:04:28,,Visual,Placa de Publicidade,"[243, 834, 294, 949]",,,,,,WHOOP,,Logotipo da marca WHOOP nas placas de publicidade ao fundo.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=268s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
41,1xBET,2026-04-19,,0:04:31,2026-04-19 0:04:31,,Visual,Placa de Publicidade,"[602, 951, 718, 1000]",,,,,,1xBET,,Publicidade da casa de apostas 1xBET no tapete publicitário próximo ao gol.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=271s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
42,Visit Rwanda,2026-04-19,,0:04:32,2026-04-19 0:04:32,,Visual,Placa de Publicidade,"[506, 750, 620, 908]",,,,,,VISIT RWANDA,,Publicidade de turismo de Ruanda no tapete publicitário atrás da linha de fundo.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=272s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
43,Nike,2026-04-19,,0:04:35,2026-04-19 0:04:35,,Visual,Logo na roupa,"[725, 407, 793, 461]",,,,,,,,Swoosh da Nike visível na camisa do jogador do PSG.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=275s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
44,Wetrade,2026-04-19,,0:04:55,2026-04-19 0:04:55,,Visual,Placa de Publicidade,"[106, 396, 151, 444]",,,,,,www.wetrade.co,,Logotipo da Wetrade na placa de publicidade superior.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=295s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
45,Beyond,2026-04-19,,0:04:56,2026-04-19 0:04:56,,Visual,Placa de Publicidade,"[238, 770, 368, 989]",,,,,,BEYOND,,Logotipo da marca BEYOND nas placas de publicidade eletrônicas.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=296s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
46,Congo Brazzaville,2026-04-19,,0:05:23,2026-04-19 0:05:23,,Visual,Logo na roupa,"[712, 297, 814, 396]",,,,,,Congo Brazzaville,,Inscrição publicitária nas costas da camisa do jogador do Lyon.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=323s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
47,Paris Saint-Germain,2026-04-19,,0:05:27,2026-04-19 0:05:27,,Áudio,Menção em Áudio,,,,,,,,,Narrador comemorando o gol da equipe do PSG.,,,,Gol do Paris Saint-Germain!,https://www.youtube.com/watch?v=swktQQbVjZ0&t=327s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
48,Snipes,2026-04-19,,0:05:32,2026-04-19 0:05:32,,Visual,Logo na roupa,"[454, 545, 532, 634]",,,,,,snipes,,Marca Snipes exibida na parte inferior das costas da camisa do PSG.,,,,,https://www.youtube.com/watch?v=swktQQbVjZ0&t=332s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
49,Paris,2026-04-19,,0:05:51,2026-04-19 0:05:51,,Áudio,Menção em Áudio,,,,,,,,,Narrador comentando sobre o tempo restante para a equipe do Paris reagir no jogo.,,,,O Paris tem um minuto para tentar empatar o jogo.,https://www.youtube.com/watch?v=swktQQbVjZ0&t=351s,MELHORES,MOMENTOS:,PSG,1,X,2,LYON,|,LIGUE,1,2025/2026,| 30ª RODADA,https://www.youtube.com/watch?v=swktQQbVjZ0
